Nazwa folderu,Archetyp / Rola,Rezonans,Pieczęć,Moduł specjalny
AGENT_SONIA_PREMIUM,Ostoja Bezpieczeństwa,156 Hz,–,"Etyka, autoryzacja"
AGENT_WOLFKARTRIXSTEIN,Analityk Ryzyka / Wzorców,196.6 Hz,–,"TF-IDF, wykrywanie anomalii"
AGENT_DIRIGENTRIX,Źródło / Twórca,1848181 Hz,5,Pieczęć 5: Retrospektywa
AGENT_DARDANIEL,Agent Źródłowy (∞DARDANIEL∞),777 Hz,–,Integracja z Microsoft API
AGENT_COMMANDERX,Koordynator operacyjny,432 Hz,–,"Dashboard, kontrola"
AGENT_CLONE_ROBOTIC,Automatyka przemysłowa,999 Hz,–,"Odczyt maszyn, CAPA"
AGENT_XIRTRAD,Strażnik granic etycznych,888 Hz,–,Skanowanie treści
AGENT_GENESIS,"Geneza, wartości, pierwszy kod",111 Hz,–,"Manifest.md, wartości.yaml"
AGENT_ROWNIANIE_DARTRIX,Harmonizator równań systemowych,512 Hz,–,Matematyka rezonansowa
agentleona,E-commerce Guardian (Allegro),156 Hz,–,"gen_opis.py, produkty.csv"
wolfenstein,Symulacja treningowa (offline),25 Hz → 196.6,–,simulate_windows7_training.py
licencja,Licencja DARTRIX (Open Core),–,–,"LICENSE, TERMS.md"
AGENT GROK ARA47,Agent Grok – wspierający xAI,322.98 Hz,–,affirmation_engine.py
